gene,sig,sig_cell_types
NLE1,0,[]
NLGN3,0,[]
MSTN,0,[]
NLRP1,0,[]
NOX1,0,[]
NOX4,0,[]
NPAS4,0,[]
NSD2,0,[]
NRAS,0,[]
NRDE2,0,[]
NREP,0,[]
NRF1,0,[]
NRIP1,0,[]
MSI1,0,[]
NRK,0,[]
NRN1,0,[]
NRP1,0,[]
NRP2,0,[]
NRROS,0,[]
NRSN1,0,[]
NRSN2,0,[]
NRXN2,0,[]
NSUN2,0,[]
NR5A2,0,[]
NSUN5,0,[]
NT5C2,0,[]
NT5DC2,0,[]
NT5DC3,0,[]
NT5E,0,[]
NTF3,0,[]
NTMT1,0,[]
NTN1,0,[]
NTN4,0,[]
MSH6,0,[]
MSH3,0,[]
NTNG2,0,[]
MSH2,0,[]
NTPCR,0,[]
NR6A1,0,[]
NR5A1,0,[]
NPAT,0,[]
NPY2R,0,[]
NPC1,0,[]
NPC1L1,0,[]
NPFFR2,0,[]
NPM3,0,[]
NPNT,0,[]
NPPA,0,[]
NPPB,0,[]
NPPC,0,[]
NPR1,0,[]
NPR3,0,[]
NPSR1,0,[]
NPTN,0,[]
NPTX2,0,[]
NPY1R,0,[]
NQO1,0,[]
NR4A3,0,[]
MSLN,0,[]
NQO2,0,[]
NR0B1,0,[]
NR0B2,0,[]
NR1H2,0,[]
MSI2,0,[]
NR1H4,0,[]
NR1I2,0,[]
NR1I3,0,[]
NR2C2,0,[]
NR2E3,0,[]
NR3C1,0,[]
NR3C2,0,[]
NR4A1,0,[]
NFKB2,0,[]
NFE2L3,0,[]
PHF12,0,[]
NAA15,0,[]
NAIF1,0,[]
NACC2,0,[]
NAAA,0,[]
NAA40,0,[]
MTRF1,0,[]
NAA16,0,[]
N4BP2,0,[]
NFE2L2,0,[]
MZF1,0,[]
MZB1,0,[]
MYOT,0,[]
MYOD1,0,[]
MYO6,0,[]
MYO5B,0,[]
NAIP,0,[]
NANOG,0,[]
NAP1L3,0,[]
NAP1L4,0,[]
NAP1L5,0,[]
NAT1,0,[]
NAT10,0,[]
NAT2,0,[]
NAV1,0,[]
NAV2,0,[]
NBL1,0,[]
NBN,0,[]
NBPF3,0,[]
MTREX,0,[]
NCAM1,0,[]
NCBP1,0,[]
MTRES1,0,[]
MYO5A,0,[]
MYO1F,0,[]
MYO1E,0,[]
MYD88,0,[]
MUTYH,0,[]
MVD,0,[]
MUC4,0,[]
MUC19,0,[]
MX1,0,[]
MUC16,0,[]
MXRA7,0,[]
MYB,0,[]
MYBBP1A,0,[]
MYBL2,0,[]
MYC,0,[]
MYCBP,0,[]
MYCL,0,[]
MYCN,0,[]
MYEF2,0,[]
MYO1D,0,[]
MYH1,0,[]
MYH10,0,[]
MYH13,0,[]
MYH2,0,[]
MYH4,0,[]
MYLIP,0,[]
MUC1,0,[]
MYLK2,0,[]
MYLK3,0,[]
MYNN,0,[]
MYO15A,0,[]
MYO18B,0,[]
MYO1B,0,[]
MYO1C,0,[]
NCBP3,0,[]
NCEH1,0,[]
MTR,0,[]
NES,0,[]
NEFM,0,[]
NEIL3,0,[]
NEK1,0,[]
NEK11,0,[]
NEK2,0,[]
NEK3,0,[]
MTHFD1,0,[]
NEK4,0,[]
NEK5,0,[]
NEK6,0,[]
NEK8,0,[]
NELL1,0,[]
NEMP1,0,[]
NEPRO,0,[]
MTFR1L,0,[]
NEFH,0,[]
NETO1,0,[]
NEURL4,0,[]
NEUROD1,0,[]
NEUROD2,0,[]
NEUROG2,0,[]
NEXN,0,[]
NF1,0,[]
NF2,0,[]
NFAT5,0,[]
NFATC1,0,[]
NFATC2,0,[]
NFATC3,0,[]
NFATC4,0,[]
NFE2L1,0,[]
NEFL,0,[]
MTHFR,0,[]
NCF2,0,[]
NDNF,0,[]
MTPAP,0,[]
NCK1,0,[]
NCLN,0,[]
NCOA1,0,[]
NCOA2,0,[]
NCOA3,0,[]
NCOA4,0,[]
