gene,sig,sig_cell_types
ADGRE2,1,['Macrophages']
KL,1,['Macrophages']
PPP1R37,0,[]
PPP1R7,0,[]
PORCN,0,[]
MEF2A,0,[]
PPM1A,0,[]
POTEJ,0,[]
PPM1D,0,[]
PPM1H,0,[]
MED12L,0,[]
MED12,0,[]
POTEI,0,[]
PPP1R15B,0,[]
MEF2C,0,[]
PPP1R16B,0,[]
PPP1R1B,0,[]
POTEF,0,[]
POSTN,0,[]
PPP1R1C,0,[]
POU1F1,0,[]
POU3F3,0,[]
PPID,0,[]
POU2AF1,0,[]
MEIOB,0,[]
POU3F1,0,[]
MEIS1,0,[]
POU2F3,0,[]
POU2F2,0,[]
POU4F3,0,[]
POU5F1,0,[]
PPP1R9B,0,[]
MEGF8,0,[]
PPARD,0,[]
PPARG,0,[]
PPARGC1A,0,[]
PPFIA1,0,[]
PPFIA3,0,[]
MEGF10,0,[]
MEG3,0,[]
PPFIA4,0,[]
MEIS2,0,[]
POU2F1,0,[]
PPIC,0,[]
POU3F4,0,[]
PPARA,0,[]
PPP4R4,0,[]
PPP2CA,0,[]
MDC1,0,[]
PRKCA,0,[]
PRKCB,0,[]
MCTS1,0,[]
PRKCD,0,[]
PRKCE,0,[]
PRKCG,0,[]
PRKCH,0,[]
PRKCI,0,[]
PRKCQ,0,[]
PRKCZ,0,[]
PRKD1,0,[]
PRKD3,0,[]
PRKDC,0,[]
PRKN,0,[]
PRKRA,0,[]
PRL,0,[]
PRLR,0,[]
MCTP2,0,[]
PRM1,0,[]
PRMT1,0,[]
PRMT5,0,[]
PRMT8,0,[]
PRMT9,0,[]
PRNCR1,0,[]
MCPH1,0,[]
PRNP,0,[]
PROC,0,[]
MCM9,0,[]
MCM7,0,[]
PRKAR1A,0,[]
PRKAG2,0,[]
PPP2R1A,0,[]
PRKAG1,0,[]
MED1,0,[]
MECOM,0,[]
PPP2R3A,0,[]
PPP2R3C,0,[]
PPP3CA,0,[]
ME1,0,[]
PPP4R1,0,[]
POPDC3,0,[]
PRAME,0,[]
PRCP,0,[]
PRDM1,0,[]
PRDM10,0,[]
PRDM12,0,[]
PRDM13,0,[]
MDM2,0,[]
PRDM15,0,[]
PRDM6,0,[]
PREP,0,[]
PREPL,0,[]
MDM1,0,[]
PRF1,0,[]
PRG2,0,[]
PRG4,0,[]
PRICKLE1,0,[]
PRKAA1,0,[]
PRKAA2,0,[]
