gene,sig,n_up,n_down,sig_cell_types
RERG,0,0,0,
REST,0,0,0,
RETN,0,0,0,
RETREG3,0,0,0,
REXO2,0,0,0,
RFC3,0,0,0,
RFC4,0,0,0,
RLN2,0,0,0,
RLN3,0,0,0,
RMDN1,0,0,0,
RRP15,0,0,0,
RSPH9,0,0,0,
RSBN1,0,0,0,
RSAD2,0,0,0,
RS1,0,0,0,
RRS1,0,0,0,
RRP1B,0,0,0,
RRP12,0,0,0,
RPS6KA5,0,0,0,
RRM2,0,0,0,
RRM1,0,0,0,
RREB1,0,0,0,
RRAS,0,0,0,
RRAD,0,0,0,
RPUSD2,0,0,0,
RSPO2,0,0,0,
RSPO3,0,0,0,
RSPRY1,0,0,0,
RSRC1,0,0,0,
RTCB,0,0,0,
RTKN2,0,0,0,
RTL1,0,0,0,
RTL8C,0,0,0,
RTN4,0,0,0,
RTN4IP1,0,0,0,
RUBCN,0,0,0,
RUBCNL,0,0,0,
RUFY2,0,0,0,
RUNX1,0,0,0,
RUNX2,0,0,0,
RUNX3,0,0,0,
RUVBL1,0,0,0,
RPTOR,0,0,0,
RPRML,0,0,0,
RMND1,0,0,0,
RNF167,0,0,0,
RNF39,0,0,0,
RNF38,0,0,0,
RNF31,0,0,0,
RNF26,0,0,0,
RNF2,0,0,0,
RNF180,0,0,0,
RNF128,0,0,0,
RPRM,0,0,0,
RNF121,0,0,0,
RNF112,0,0,0,
RNASEL,0,0,0,
RNASEH2B,0,0,0,
RNASE3,0,0,0,
RMND5A,0,0,0,
RNF43,0,0,0,
RO60,0,0,0,
ROCK1,0,0,0,
ROCK2,0,0,0,
ROR1,0,0,0,
RORB,0,0,0,
RORC,0,0,0,
ROS1,0,0,0,
RP1L1,0,0,0,
RPA1,0,0,0,
RPA2,0,0,0,
RPA3,0,0,0,
RPAP1,0,0,0,
RPAP3,0,0,0,
RPE65,0,0,0,
RPF1,0,0,0,
RPN1,0,0,0,
SKP1,0,0,0,
SLAMF8,0,0,0,
SLC10A1,0,0,0,
SPICE1,0,0,0,
SPOCK1,0,0,0,
SPO11,0,0,0,
SPINK7,0,0,0,
SPIN3,0,0,0,
SPIN2A,0,0,0,
SPIN1,0,0,0,
SPIB,0,0,0,
SPPL2A,0,0,0,
SPI1,0,0,0,
SPECC1L,0,0,0,
SPECC1,0,0,0,
SPDYA,0,0,0,
SPATS2L,0,0,0,
SPATS2,0,0,0,
SPON2,0,0,0,
SPRY2,0,0,0,
SORCS2,0,0,0,
SRD5A1,0,0,0,
SRI,0,0,0,
SRFBP1,0,0,0,
SRF,0,0,0,
SREBF2,0,0,0,
SRD5A3,0,0,0,
SRD5A2,0,0,0,
SRCIN1,0,0,0,
SPRYD7,0,0,0,
SRCAP,0,0,0,
SRA1,0,0,0,
SQSTM1,0,0,0,
SPZ1,0,0,0,
SPTBN1,0,0,0,
SPTA1,0,0,0,
SPATA7,0,0,0,
SPATA5L1,0,0,0,
SPATA5,0,0,0,
SOX17,0,0,0,
SOX6,0,0,0,
SOX30,0,0,0,
SOX21,0,0,0,
SOX2-OT,0,0,0,
SOX2,0,0,0,
SOX18,0,0,0,
SOX14,0,0,0,
SPATA4,0,0,0,
SOX11,0,0,0,
SOX10,0,0,0,
SOX1,0,0,0,
SOSTDC1,0,0,0,
SOST,0,0,0,
SORT1,0,0,0,
SOX8,0,0,0,
SOX9,0,0,0,
SP1,0,0,0,
SP110,0,0,0,
SP3,0,0,0,
SP9,0,0,0,
SPA17,0,0,0,
SPAAR,0,0,0,
SPAG1,0,0,0,
SPAG17,0,0,0,
SPAG5,0,0,0,
SPAG6,0,0,0,
SPANXB1,0,0,0,
SPART,0,0,0,
SPATA16,0,0,0,
SPATA18,0,0,0,
SPATA22,0,0,0,
SRPK1,0,0,0,
SRPX,0,0,0,
SRSF1,0,0,0,
STRN3,0,0,0,
STXBP4,0,0,0,
STX7,0,0,0,
STX11,0,0,0,
STUB1,0,0,0,
STS,0,0,0,
STRN4,0,0,0,
STRIP2,0,0,0,
STK32A,0,0,0,
STRIP1,0,0,0,
STOML1,0,0,0,
STK40,0,0,0,
STK4,0,0,0,
STK39,0,0,0,
STK35,0,0,0,
STXBP5,0,0,0,
STYK1,0,0,0,
SUGCT,0,0,0,
SUGP2,0,0,0,
SULF1,0,0,0,
SULT1A1,0,0,0,
SULT2A1,0,0,0,
SUMO1,0,0,0,
SUMO4,0,0,0,
SUPV3L1,0,0,0,
SURF6,0,0,0,
SUV39H1,0,0,0,
SV2C,0,0,0,
SVEP1,0,0,0,
SWT1,0,0,0,
SYCP1,0,0,0,
SYK,0,0,0,
STK33,0,0,0,
STK31,0,0,0,
SRSF2,0,0,0,
SSTR3,0,0,0,
SSX4,0,0,0,
SSX2IP,0,0,0,
SSX2,0,0,0,
SSX1,0,0,0,
SSTR5,0,0,0,
SSTR4,0,0,0,
SSTR2,0,0,0,
STK3,0,0,0,
SSTR1,0,0,0,
SSRP1,0,0,0,
SSBP3,0,0,0,
SSB,0,0,0,
SS18,0,0,0,
SRY,0,0,0,
ST6GAL1,0,0,0,
STAB1,0,0,0,
STAC3,0,0,0,
STAP1,0,0,0,
STAR,0,0,0,
STAT2,0,0,0,
STAT5A,0,0,0,
STAT5B,0,0,0,
STAT6,0,0,0,
STAU1,0,0,0,
STAU2,0,0,0,
STH,0,0,0,
STIL,0,0,0,
STIM1,0,0,0,
STIM2,0,0,0,
STK11,0,0,0,
STK16,0,0,0,
SORD,0,0,0,
SORCS1,0,0,0,
SLC11A2,0,0,0,
SLC39A11,0,0,0,
SLC4A1AP,0,0,0,
SLC4A1,0,0,0,
SLC43A2,0,0,0,
SLC3A2,0,0,0,
SLC3A1,0,0,0,
SLC39A9,0,0,0,
SLC38A7,0,0,0,
SLC5A2,0,0,0,
SLC37A4,0,0,0,
SLC35G2,0,0,0,
SLC35E1,0,0,0,
SLC30A8,0,0,0,
SLC30A7,0,0,0,
SLC2A4RG,0,0,0,
SLC5A1,0,0,0,
SLC5A3,0,0,0,
SOHLH2,0,0,0,
SLC6A5,0,0,0,
SLC9A3R1,0,0,0,
SLC9A3,0,0,0,
SLC9A1,0,0,0,
SLC7A7,0,0,0,
SLC7A11,0,0,0,
SLC6A9,0,0,0,
SLC6A4,0,0,0,
SLC5A5,0,0,0,
SLC6A3,0,0,0,
SLC6A2,0,0,0,
SLC6A17,0,0,0,
SLC6A12,0,0,0,
SLC6A1,0,0,0,
SLC5A7,0,0,0,
SLC2A4,0,0,0,
SLC2A2,0,0,0,
SLC29A3,0,0,0,
SLC17A8,0,0,0,
SLC22A12,0,0,0,
SLC22A1,0,0,0,
SLC20A2,0,0,0,
SLC1A2,0,0,0,
SLC1A1,0,0,0,
SLC19A1,0,0,0,
SLC17A7,0,0,0,
SLC29A1,0,0,0,
SLC17A6,0,0,0,
SLC17A5,0,0,0,
SLC16A4,0,0,0,
SLC16A1,0,0,0,
SLC15A1,0,0,0,
SLC12A6,0,0,0,
SLC22A2,0,0,0,
SLC22A5,0,0,0,
SLC22A8,0,0,0,
SLC22A9,0,0,0,
SLC23A2,0,0,0,
SLC24A1,0,0,0,
SLC24A4,0,0,0,
SLC25A1,0,0,0,
SLC25A10,0,0,0,
SLC25A11,0,0,0,
SLC25A13,0,0,0,
SLC25A17,0,0,0,
SLC25A31,0,0,0,
SLC25A39,0,0,0,
SLC25A40,0,0,0,
SLC26A2,0,0,0,
SLC26A3,0,0,0,
SLCO1B1,0,0,0,
SLCO1B3,0,0,0,
SLCO1C1,0,0,0,
SNRNP200,0,0,0,
SNURF,0,0,0,
SNTG2,0,0,0,
SNTB2,0,0,0,
SNRPD3,0,0,0,
SNRPD1,0,0,0,
SNRPB,0,0,0,
SNHG8,0,0,0,
SNAP23,0,0,0,
SNHG17,0,0,0,
SNHG15,0,0,0,
SNHG11,0,0,0,
SNHG1,0,0,0,
SND1,0,0,0,
SNAP47,0,0,0,
SNX1,0,0,0,
SNX10,0,0,0,
SNX11,0,0,0,
SNX15,0,0,0,
SNX16,0,0,0,
SNX17,0,0,0,
SNX19,0,0,0,
SNX27,0,0,0,
SNX29,0,0,0,
SNX30,0,0,0,
SNX33,0,0,0,
SNX4,0,0,0,
SNX8,0,0,0,
SOAT1,0,0,0,
SOCS2,0,0,0,
SOD1,0,0,0,
SOD3,0,0,0,
SNAP25,0,0,0,
SNAI2,0,0,0,
SLFN11,0,0,0,
SMARCA1,0,0,0,
SMARCB1,0,0,0,
SMARCAL1,0,0,0,
SMARCAD1,0,0,0,
SMARCA5,0,0,0,
SMARCA4,0,0,0,
SMARCA2,0,0,0,
SMAD4,0,0,0,
SNAI1,0,0,0,
SMAD2,0,0,0,
SMAD1,0,0,0,
SLMAP,0,0,0,
SLITRK5,0,0,0,
SLITRK1,0,0,0,
SLFN5,0,0,0,
SMARCC1,0,0,0,
SMARCE1,0,0,0,
SMC1A,0,0,0,
SMC3,0,0,0,
SMCHD1,0,0,0,
SMN1,0,0,0,
SMN2,0,0,0,
SMO,0,0,0,
SMOC1,0,0,0,
SMOX,0,0,0,
SMPD1,0,0,0,
SMPD3,0,0,0,
SMPDL3B,0,0,0,
SMTN,0,0,0,
SMURF1,0,0,0,
SMURF2,0,0,0,
SMYD3,0,0,0,
MPPED1,0,0,0,
LPCAT1,0,0,0,
MPO,0,0,0,
CNTN6,0,0,0,
COIL,0,0,0,
COBLL1,0,0,0,
COASY,0,0,0,
CNTROB,0,0,0,
CNTNAP4,0,0,0,
CNTNAP3,0,0,0,
CNTN2,0,0,0,
COL18A1,0,0,0,
CNTLN,0,0,0,
CNTF,0,0,0,
CNST,0,0,0,
CNR2,0,0,0,
CNR1,0,0,0,
CNP,0,0,0,
COL10A1,0,0,0,
COL23A1,0,0,0,
CP,0,0,0,
COMP,0,0,0,
CORO1C,0,0,0,
CORO1B,0,0,0,
CORIN,0,0,0,
COQ8A,0,0,0,
COPS5,0,0,0,
COMT,0,0,0,
COLQ,0,0,0,
COL25A1,0,0,0,
COL7A1,0,0,0,
COL5A1,0,0,0,
COL4A5,0,0,0,
COL4A3,0,0,0,
COL4A2,0,0,0,
COL2A1,0,0,0,
CNOT1,0,0,0,
CNNM3,0,0,0,
CNNM1,0,0,0,
CLIC4,0,0,0,
CLNK,0,0,0,
CLN5,0,0,0,
CLN3,0,0,0,
CLK4,0,0,0,
CLK3,0,0,0,
CLK2,0,0,0,
CLIC3,0,0,0,
CNMD,0,0,0,
CLGN,0,0,0,
CLEC9A,0,0,0,
CLEC4M,0,0,0,
CLEC4A,0,0,0,
CLEC2A,0,0,0,
CLEC16A,0,0,0,
CLOCK,0,0,0,
CLPTM1L,0,0,0,
CLPX,0,0,0,
CLSTN1,0,0,0,
CLSTN3,0,0,0,
CLTC,0,0,0,
CMA1,0,0,0,
CMKLR1,0,0,0,
CMSS1,0,0,0,
CMTM5,0,0,0,
CMTM8,0,0,0,
CMYA5,0,0,0,
CNDP1,0,0,0,
CNGB1,0,0,0,
CNGB3,0,0,0,
CNIH4,0,0,0,
CNKSR3,0,0,0,
CORT,0,0,0,
CPA4,0,0,0,
CLDN5,0,0,0,
CSK,0,0,0,
CSNK2A2,0,0,0,
CSNK2A1,0,0,0,
CSNK1G1,0,0,0,
CSNK1E,0,0,0,
CSNK1A1L,0,0,0,
CSNK1A1,0,0,0,
CSF3R,0,0,0,
CSPG4,0,0,0,
CSF3,0,0,0,
CSF2RB,0,0,0,
CSF2RA,0,0,0,
CSF2,0,0,0,
CSE1L,0,0,0,
CRYZL1,0,0,0,
CSNK2B,0,0,0,
CSPP1,0,0,0,
CPA5,0,0,0,
CTBP2,0,0,0,
CTNNB1,0,0,0,
CTNNAL1,0,0,0,
CTNNA1,0,0,0,
CTH,0,0,0,
CTCFL,0,0,0,
CTCF,0,0,0,
CTBP1,0,0,0,
CSRP1,0,0,0,
CTAG1B,0,0,0,
CST5,0,0,0,
CST4,0,0,0,
CST2,0,0,0,
CST1,0,0,0,
CSRP3,0,0,0,
CRYZ,0,0,0,
CRYGS,0,0,0,
CRYGC,0,0,0,
CPS1,0,0,0,
CRB2,0,0,0,
CR2,0,0,0,
CPZ,0,0,0,
CPXM2,0,0,0,
CPT1A,0,0,0,
CPSF6,0,0,0,
CPNE9,0,0,0,
CRYBG1,0,0,0,
CPLX3,0,0,0,
CPEB3,0,0,0,
CPEB2,0,0,0,
CPEB1,0,0,0,
CPB2,0,0,0,
CPA6,0,0,0,
CREB1,0,0,0,
CREB3,0,0,0,
CREBBP,0,0,0,
CREG1,0,0,0,
CREG2,0,0,0,
CRH,0,0,0,
CRHR1,0,0,0,
CRHR2,0,0,0,
CRIPT,0,0,0,
CRK,0,0,0,
CRKL,0,0,0,
CRNDE,0,0,0,
CRNN,0,0,0,
CRTAC1,0,0,0,
CRTAM,0,0,0,
CRYAA,0,0,0,
CRYBB3,0,0,0,
CLEC14A,0,0,0,
CLDN18,0,0,0,
CTNND2,0,0,0,
CDK2,0,0,0,
CDK7,0,0,0,
CDK6,0,0,0,
CDK5RAP1,0,0,0,
CDK5,0,0,0,
CDK4,0,0,0,
CDK3,0,0,0,
CDK18,0,0,0,
CDK9,0,0,0,
CDK17,0,0,0,
CDK16,0,0,0,
CDK14,0,0,0,
CDK10,0,0,0,
CDK1,0,0,0,
CDHR2,0,0,0,
CDK8,0,0,0,
CDKAL1,0,0,0,
CEBPA,0,0,0,
CDR2L,0,0,0,
CEACAM3,0,0,0,
CEACAM1,0,0,0,
CDX2,0,0,0,
CDX1,0,0,0,
CDV3,0,0,0,
CDSN,0,0,0,
CDKN3,0,0,0,
CDKL1,0,0,0,
CDKN2B,0,0,0,
CDKN2AIP,0,0,0,
CDKN2A,0,0,0,
CDKN1C,0,0,0,
CDKN1B,0,0,0,
CDKL3,0,0,0,
CDH7,0,0,0,
CDH6,0,0,0,
CDH5,0,0,0,
CD70,0,0,0,
CDA,0,0,0,
CD99,0,0,0,
CD96,0,0,0,
CD86,0,0,0,
CD84,0,0,0,
CD83,0,0,0,
CD68,0,0,0,
CDH22,0,0,0,
CD6,0,0,0,
CD5L,0,0,0,
CD59,0,0,0,
CD58,0,0,0,
CD55,0,0,0,
CD47,0,0,0,
CDAN1,0,0,0,
CDC123,0,0,0,
CDC20,0,0,0,
CDC25A,0,0,0,
CDC25C,0,0,0,
CDC27,0,0,0,
CDC34,0,0,0,
CDC37,0,0,0,
CDC42,0,0,0,
CDC6,0,0,0,
CDC73,0,0,0,
CDCA2,0,0,0,
CDCA3,0,0,0,
CDCP1,0,0,0,
CDH13,0,0,0,
CDH16,0,0,0,
CDH2,0,0,0,
CEACAM8,0,0,0,
CELSR1,0,0,0,
CLDN1,0,0,0,
CHRM4,0,0,0,
CHRNA6,0,0,0,
CHRNA5,0,0,0,
CHRNA4,0,0,0,
CHRNA3,0,0,0,
CHRNA2,0,0,0,
CHRM5,0,0,0,
CHRM3,0,0,0,
CHRNB1,0,0,0,
CHRM2,0,0,0,
CHRM1,0,0,0,
CHRDL2,0,0,0,
CHRAC1,0,0,0,
CHODL,0,0,0,
CHKA,0,0,0,
CHRNA7,0,0,0,
CHRNB2,0,0,0,
CELSR2,0,0,0,
CISD2,0,0,0,
CLCN5,0,0,0,
CLCN4,0,0,0,
CLCN3,0,0,0,
CKS2,0,0,0,
CKAP5,0,0,0,
CKAP2,0,0,0,
CIP2A,0,0,0,
CHRNB3,0,0,0,
CINP,0,0,0,
CILP2,0,0,0,
CIITA,0,0,0,
CHUK,0,0,0,
CHST8,0,0,0,
CHRNB4,0,0,0,
CHIT1,0,0,0,
CHFR,0,0,0,
CHEK2,0,0,0,
CEP170,0,0,0,
CFAP20,0,0,0,
CETP,0,0,0,
CES1,0,0,0,
CEP85,0,0,0,
CEP55,0,0,0,
CEP19,0,0,0,
CEP128,0,0,0,
CHEK1,0,0,0,
CENPV,0,0,0,
CENPF,0,0,0,
CENPB,0,0,0,
CENPA,0,0,0,
CEMIP2,0,0,0,
CELSR3,0,0,0,
CFAP43,0,0,0,
CFAP46,0,0,0,
CFAP47,0,0,0,
CFC1,0,0,0,
CFDP1,0,0,0,
CFLAR,0,0,0,
CFP,0,0,0,
CFTR,0,0,0,
CGAS,0,0,0,
CGB3,0,0,0,
CGNL1,0,0,0,
CGRRF1,0,0,0,
CH25H,0,0,0,
CHAF1A,0,0,0,
CHAMP1,0,0,0,
CHD3,0,0,0,
CHD5,0,0,0,
CTNND1,0,0,0,
CTRL,0,0,0,
MPLKIP,0,0,0,
DRD2,0,0,0,
DST,0,0,0,
DSG2,0,0,0,
DSG1,0,0,0,
DRG1,0,0,0,
DRD5,0,0,0,
DRD3,0,0,0,
DRD1,0,0,0,
DTX1,0,0,0,
DRC3,0,0,0,
DRC1,0,0,0,
DRAM1,0,0,0,
DPYSL2,0,0,0,
DPYD,0,0,0,
DPY19L2,0,0,0,
DTNBP1,0,0,0,
DUOX2,0,0,0,
E2F1,0,0,0,
DVL1,0,0,0,
DYRK1B,0,0,0,
DYRK1A,0,0,0,
DYNC1H1,0,0,0,
DYDC1,0,0,0,
DVL3,0,0,0,
DVL2,0,0,0,
DUX4,0,0,0,
DUOXA1,0,0,0,
DUSP6,0,0,0,
DUSP5,0,0,0,
DUSP28,0,0,0,
DUSP23,0,0,0,
DUSP13,0,0,0,
DUOXA2,0,0,0,
DPPA2,0,0,0,
DPP8,0,0,0,
DPM1,0,0,0,
DNAH9,0,0,0,
DNAJB4,0,0,0,
DNAJB2,0,0,0,
DNAJB12,0,0,0,
DNAJA3,0,0,0,
DNAJA1,0,0,0,
DNAI1,0,0,0,
DNAH8,0,0,0,
DPF3,0,0,0,
DNAH7,0,0,0,
DNAH5,0,0,0,
DNAH2,0,0,0,
DNAH14,0,0,0,
DNAH12,0,0,0,
DNAH11,0,0,0,
DNAJB5,0,0,0,
DNAJC10,0,0,0,
DNAJC17,0,0,0,
DNAJC9,0,0,0,
DNM2,0,0,0,
DNMT1,0,0,0,
DNMT3A,0,0,0,
DNMT3B,0,0,0,
DNPEP,0,0,0,
DNTT,0,0,0,
DOC2A,0,0,0,
DOCK9,0,0,0,
DOK5,0,0,0,
DOK7,0,0,0,
DOT1L,0,0,0,
DPAGT1,0,0,0,
DPF2,0,0,0,
DZIP1L,0,0,0,
E2F4,0,0,0,
DNAH1,0,0,0,
EIF2AK4,0,0,0,
EIF4EBP1,0,0,0,
EIF4E,0,0,0,
EIF4A3,0,0,0,
EIF3C,0,0,0,
EIF3A,0,0,0,
EIF2S1,0,0,0,
EIF2AK3,0,0,0,
EIF4EBP3,0,0,0,
EIF2AK2,0,0,0,
EIF1B,0,0,0,
EIF1AY,0,0,0,
EIF1AD,0,0,0,
EID1,0,0,0,
EHMT2,0,0,0,
EIF4EBP2,0,0,0,
EIF4ENIF1,0,0,0,
E4F1,0,0,0,
ELF4,0,0,0,
ELOC,0,0,0,
ELOB,0,0,0,
ELMOD2,0,0,0,
ELMOD1,0,0,0,
ELK4,0,0,0,
ELK1,0,0,0,
ELAVL1,0,0,0,
EIF4G1,0,0,0,
ELANE,0,0,0,
ELAC2,0,0,0,
ELAC1,0,0,0,
EIPR1,0,0,0,
EIF5AL1,0,0,0,
EIF5A,0,0,0,
EHMT1,0,0,0,
EHF,0,0,0,
EHBP1,0,0,0,
ECPAS,0,0,0,
EDRF1,0,0,0,
EDNRA,0,0,0,
EDN1,0,0,0,
EDIL3,0,0,0,
ECSIT,0,0,0,
ECRG4,0,0,0,
ECHS1,0,0,0,
EGR4,0,0,0,
ECHDC1,0,0,0,
ECEL1,0,0,0,
ECD,0,0,0,
EBP,0,0,0,
EBI3,0,0,0,
EBF2,0,0,0,
EED,0,0,0,
EEF1A2,0,0,0,
EEF1AKNMT,0,0,0,
EEF1G,0,0,0,
EFHC1,0,0,0,
EFHC2,0,0,0,
EFNB2,0,0,0,
EFR3A,0,0,0,
EFR3B,0,0,0,
EFS,0,0,0,
EFTUD2,0,0,0,
EGF,0,0,0,
EGFL6,0,0,0,
EGFR,0,0,0,
EGLN1,0,0,0,
EGLN3,0,0,0,
EGR2,0,0,0,
DNAH10,0,0,0,
DMXL2,0,0,0,
CTSA,0,0,0,
CYP2D6,0,0,0,
CYREN,0,0,0,
CYP7A1,0,0,0,
CYP4F2,0,0,0,
CYP46A1,0,0,0,
CYP3A5,0,0,0,
CYP2J2,0,0,0,
CYP2C9,0,0,0,
CYTH2,0,0,0,
CYP2C8,0,0,0,
CYP2C19,0,0,0,
CYP2A6,0,0,0,
CYP27B1,0,0,0,
CYP24A1,0,0,0,
CYP20A1,0,0,0,
CYSLTR1,0,0,0,
CYTOR,0,0,0,
DCDC1,0,0,0,
DAP3,0,0,0,
DBR1,0,0,0,
DBN1,0,0,0,
DAZL,0,0,0,
DAZAP1,0,0,0,
DAXX,0,0,0,
DAPK1,0,0,0,
DAP,0,0,0,
DAB1,0,0,0,
DAOA,0,0,0,
DAO,0,0,0,
DAG1,0,0,0,
DACT2,0,0,0,
DACH2,0,0,0,
DACH1,0,0,0,
CYP1B1,0,0,0,
CYP1A2,0,0,0,
CYP1A1,0,0,0,
CUL1,0,0,0,
CUTA,0,0,0,
CUL5,0,0,0,
CUL4B,0,0,0,
CUL4A,0,0,0,
CUL3,0,0,0,
CUL2,0,0,0,
CUEDC2,0,0,0,
CYP19A1,0,0,0,
CUBN,0,0,0,
CTXN3,0,0,0,
CTTNBP2NL,0,0,0,
CTSH,0,0,0,
CTSG,0,0,0,
CTSC,0,0,0,
CUX2,0,0,0,
CUZD1,0,0,0,
CX3CL1,0,0,0,
CXCL16,0,0,0,
CXCL6,0,0,0,
CXCR1,0,0,0,
CXCR2,0,0,0,
CXCR3,0,0,0,
CXCR5,0,0,0,
CYBA,0,0,0,
CYBC1,0,0,0,
CYCS,0,0,0,
CYHR1,0,0,0,
CYLD,0,0,0,
CYP11A1,0,0,0,
CYP11B2,0,0,0,
CYP17A1,0,0,0,
DCAF1,0,0,0,
DCT,0,0,0,
DMXL1,0,0,0,
DHX30,0,0,0,
DIP2A,0,0,0,
DICER1,0,0,0,
DIABLO,0,0,0,
DHX9,0,0,0,
DHX57,0,0,0,
DHX34,0,0,0,
DHX29,0,0,0,
DIRAS3,0,0,0,
DHRS2,0,0,0,
DHRS1,0,0,0,
DHODH,0,0,0,
DHFR,0,0,0,
DHDDS,0,0,0,
DHCR7,0,0,0,
DIP2B,0,0,0,
DIS3,0,0,0,
DCTN1,0,0,0,
DLK1,0,0,0,
DMRT2,0,0,0,
DMBX1,0,0,0,
DLX4,0,0,0,
DLL4,0,0,0,
DLL3,0,0,0,
DLK2,0,0,0,
DLG4,0,0,0,
DIS3L2,0,0,0,
DLG1,0,0,0,
DLEU2,0,0,0,
DLEU1,0,0,0,
DLD,0,0,0,
DKK1,0,0,0,
DKC1,0,0,0,
DGAT1,0,0,0,
DERL3,0,0,0,
DEPDC7,0,0,0,
DDR1,0,0,0,
DDX21,0,0,0,
DDX20,0,0,0,
DDX19A,0,0,0,
DDX10,0,0,0,
DDX1,0,0,0,
DDR2,0,0,0,
DDIT4L,0,0,0,
DEK,0,0,0,
DDIT3,0,0,0,
DDI2,0,0,0,
DDC,0,0,0,
DDB2,0,0,0,
DDB1,0,0,0,
DCX,0,0,0,
DDX25,0,0,0,
DDX27,0,0,0,
DDX28,0,0,0,
DDX31,0,0,0,
DDX39B,0,0,0,
DDX3X,0,0,0,
DDX3Y,0,0,0,
DDX43,0,0,0,
DDX50,0,0,0,
DDX51,0,0,0,
DDX53,0,0,0,
DDX55,0,0,0,
DDX58,0,0,0,
DDX6,0,0,0,
DEFA1,0,0,0,
DEFA6,0,0,0,
DEFB103B,0,0,0,
CD46,0,0,0,
CD44,0,0,0,
CD40,0,0,0,
APH1B,0,0,0,
APOB,0,0,0,
APMAP,0,0,0,
APLNR,0,0,0,
APLN,0,0,0,
APLF,0,0,0,
API5,0,0,0,
APEX2,0,0,0,
APOBEC3C,0,0,0,
APEX1,0,0,0,
APC,0,0,0,
APAF1,0,0,0,
AP5B1,0,0,0,
AP3M2,0,0,0,
AP3D1,0,0,0,
APOBEC3B,0,0,0,
APOBEC3D,0,0,0,
ARG2,0,0,0,
AQP4,0,0,0,
ARFIP1,0,0,0,
ARF6,0,0,0,
ARF1,0,0,0,
AQP8,0,0,0,
AQP7,0,0,0,
AQP5,0,0,0,
APTX,0,0,0,
APOBEC3F,0,0,0,
APPBP2,0,0,0,
APP,0,0,0,
APOM,0,0,0,
APOL6,0,0,0,
APOL2,0,0,0,
APOBEC3G,0,0,0,
AP3B2,0,0,0,
AP2M1,0,0,0,
AP2A2,0,0,0,
ANGPTL7,0,0,0,
ANKRD13D,0,0,0,
ANKRD13A,0,0,0,
ANKK1,0,0,0,
ANKHD1,0,0,0,
ANK1,0,0,0,
ANGPTL8,0,0,0,
ANGPTL6,0,0,0,
AP2A1,0,0,0,
ANGPTL4,0,0,0,
ANGPTL3,0,0,0,
ANGPT2,0,0,0,
ANGPT1,0,0,0,
ANAPC1,0,0,0,
AMIGO3,0,0,0,
ANKRD17,0,0,0,
ANKRD30A,0,0,0,
ANKRD40,0,0,0,
ANKRD44,0,0,0,
ANKRD6,0,0,0,
ANKS1A,0,0,0,
ANKS6,0,0,0,
ANKZF1,0,0,0,
ANO1,0,0,0,
ANO3,0,0,0,
ANP32E,0,0,0,
ANXA10,0,0,0,
ANXA2,0,0,0,
ANXA5,0,0,0,
AP1B1,0,0,0,
AP1M1,0,0,0,
AP1S3,0,0,0,
ARG1,0,0,0,
ARHGAP35,0,0,0,
AMH,0,0,0,
ATL3,0,0,0,
ATP2A2,0,0,0,
ATP13A2,0,0,0,
ATP10D,0,0,0,
ATOH7,0,0,0,
ATOH1,0,0,0,
ATM,0,0,0,
ATL2,0,0,0,
ATP5F1C,0,0,0,
ATL1,0,0,0,
ATIC,0,0,0,
ATG7,0,0,0,
ATG5,0,0,0,
ATG2A,0,0,0,
ATG16L1,0,0,0,
ATP5F1A,0,0,0,
ATP6V1B1,0,0,0,
ARHGAP36,0,0,0,
ATXN1L,0,0,0,
AURKA,0,0,0,
AUNIP,0,0,0,
ATXN7L2,0,0,0,
ATXN3,0,0,0,
ATXN2L,0,0,0,
ATXN2,0,0,0,
ATXN1,0,0,0,
ATP6V1H,0,0,0,
ATRX,0,0,0,
ATR,0,0,0,
ATPSCKMT,0,0,0,
ATPAF1,0,0,0,
ATP7B,0,0,0,
ATP7A,0,0,0,
ATG10,0,0,0,
ATF6,0,0,0,
ATF4,0,0,0,
ARMC7,0,0,0,
ART1,0,0,0,
ARRDC3,0,0,0,
ARRB2,0,0,0,
ARR3,0,0,0,
ARNT,0,0,0,
ARMH3,0,0,0,
ARMC5,0,0,0,
ATF3,0,0,0,
ARL8B,0,0,0,
ARL4D,0,0,0,
ARID3B,0,0,0,
ARID1A,0,0,0,
ARHGEF7,0,0,0,
ARHGEF2,0,0,0,
ART3,0,0,0,
ART4,0,0,0,
ARX,0,0,0,
ASCC2,0,0,0,
ASCC3,0,0,0,
ASCL1,0,0,0,
ASCL2,0,0,0,
ASF1B,0,0,0,
ASH2L,0,0,0,
ASIC1,0,0,0,
ASPM,0,0,0,
ASPN,0,0,0,
ASTN2,0,0,0,
ASXL1,0,0,0,
ATAD3A,0,0,0,
ATF1,0,0,0,
ATF2,0,0,0,
AMIGO1,0,0,0,
AMFR,0,0,0,
CD4,0,0,0,
ACRBP,0,0,0,
ACTN4,0,0,0,
ACTN2,0,0,0,
ACTL7A,0,0,0,
ACTL6A,0,0,0,
ACTBL2,0,0,0,
ACRV1,0,0,0,
ACPP,0,0,0,
ACVRL1,0,0,0,
ACP5,0,0,0,
ACOD1,0,0,0,
ACLY,0,0,0,
ACKR3,0,0,0,
ACHE,0,0,0,
ACE2,0,0,0,
ACVR1,0,0,0,
ACYP2,0,0,0,
