gene,sig,n_up,n_down,sig_cell_types
IL1B,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
DHCR24,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
PDIA4,2,2,0,"['Macrophages', 'Mast cells']"
NEMP1,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
NRN1,2,0,2,"['CD4+ T cells', 'CD8+ T cells']"
CDKN1A,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
EBF1,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
AHRR,2,0,2,"['CD8+ T cells', 'CLEC10A+ DCs']"
MVP,2,2,0,"['Macrophages', 'Mast cells']"
GATA3,2,0,2,"['CD8+ T cells', 'Langerhans']"
TGFB3,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
TGFB2,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
CD302,2,0,2,"['CLEC10A+ DCs', 'CLEC9A+ DCs']"
ADGRE1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
ADGRE2,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
GBP5,2,2,0,"['CD8+ T cells', 'Macrophages']"
CD33,2,0,2,"['CLEC10A+ DCs', 'CLEC9A+ DCs']"
ZC3H12A,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
CD3E,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
CD40LG,2,0,2,"['CD4+ T cells', 'CD8+ T cells']"
PTPN1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
TNF,2,0,2,"['CD4+ T cells', 'CD8+ T cells']"
ITGB2,2,2,0,"['Langerhans', 'Macrophages']"
CASS4,2,0,2,"['CD8+ T cells', 'Tregs']"
ITGAM,2,0,2,"['CD8+ T cells', 'CLEC10A+ DCs']"
PTK2,2,0,2,"['CLEC9A+ DCs', 'Macrophages']"
ADRB2,2,0,2,"['CLEC10A+ DCs', 'Tregs']"
ME1,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
GJA1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
MDM4,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
RXRA,2,0,2,"['CD4+ T cells', 'CLEC9A+ DCs']"
RYR1,2,0,2,"['CLEC9A+ DCs', 'Macrophages']"
MYLK,2,0,2,"['CLEC10A+ DCs', 'CLEC9A+ DCs']"
TGFBR3,2,0,2,"['CD4+ T cells', 'Macrophages']"
GADD45A,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
TMEM200A,2,0,2,"['CD4+ T cells', 'CD8+ T cells']"
RETREG1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
FOLR2,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
FMOD,2,2,0,"['Macrophages', 'Mast cells']"
KANK2,2,0,2,"['CD8+ T cells', 'Macrophages']"
FOXO1,2,2,0,"['CD4+ T cells', 'Tregs']"
P2RY14,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
FOXP1,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
TIGIT,2,2,0,"['Macrophages', 'Tregs']"
RELB,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
ZNF683,2,0,2,"['Macrophages', 'Tregs']"
RASGRP1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
JAZF1,2,0,2,"['CD4+ T cells', 'CD8+ T cells']"
CCR8,2,0,2,"['CD4+ T cells', 'CD8+ T cells']"
ZFHX3,2,0,2,"['CLEC10A+ DCs', 'CLEC9A+ DCs']"
THRA,2,0,2,"['CD4+ T cells', 'Macrophages']"
ACE,2,1,1,"['CLEC9A+ DCs', 'Macrophages']"
PADI2,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
RAI14,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
FCMR,2,2,0,"['CD4+ T cells', 'Macrophages']"
FCGR3B,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
FCGR3A,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
FCGR2B,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
CD1A,2,0,2,"['CLEC10A+ DCs', 'CLEC9A+ DCs']"
FCGR1A,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
ACVR2A,2,0,2,"['CD8+ T cells', 'Tregs']"
GLUD1,2,0,2,"['CD8+ T cells', 'Macrophages']"
CD36,2,0,2,"['CD4+ T cells', 'Macrophages']"
CD80,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
TNFRSF21,2,1,1,"['CLEC10A+ DCs', 'Macrophages']"
CDH3,2,2,0,"['CLEC10A+ DCs', 'Langerhans']"
CDH23,2,0,2,"['CLEC10A+ DCs', 'CLEC9A+ DCs']"
